Year,State,Revenue,Sales,Number of Customers,Price,Sector
2021,AK,469886,2083911,292451,22.55,Residential
2021,AL,4092368,31585153,2308226,12.96,Residential
2021,AR,2131723,18918015,1436246,11.27,Residential
2021,AZ,4655903,37130339,2953823,12.54,Residential
2021,CA,20604392,90284143,13883994,22.82,Residential
2021,CO,2696118,20625005,2443109,13.07,Residential
2021,CT,2868410,13092128,1530251,21.91,Residential
2021,DC,330851,2528049,298337,13.09,Residential
2021,DE,647126,5170380,453758,12.52,Residential
2021,FL,15518174,130412464,9917113,11.9,Residential
2021,GA,7339634,58684962,4560653,12.51,Residential
2021,HI,946210,2825082,443535,33.49,Residential
2021,IA,1864645,14651755,1417424,12.73,Residential
2021,ID,944639,9300843,806421,10.16,Residential
2021,IL,6167780,46813068,5361717,13.18,Residential
2021,IN,4476492,33471970,2948803,13.37,Residential
2021,KS,1787507,13769410,1289344,12.98,Residential
2021,KY,3040792,26434371,2032575,11.5,Residential
2021,LA,3351648,30408224,2126155,11.02,Residential
2021,MA,4647885,20305269,2840311,22.89,Residential
2021,MD,3669204,27964545,2395954,13.12,Residential
2021,ME,861576,5062266,722038,17.02,Residential
2021,MI,6289783,35868100,4458038,17.54,Residential
2021,MN,3138279,23246055,2496406,13.5,Residential
2021,MO,4071545,35668409,2861933,11.42,Residential
2021,MS,2145795,18569936,1321576,11.56,Residential
2021,MT,623923,5559446,531398,11.22,Residential
2021,NC,6897040,60914684,4774592,11.32,Residential
2021,ND,530311,4888401,391340,10.85,Residential
2021,NE,1127997,10492369,869656,10.75,Residential
2021,NH,959250,4831911,638267,19.85,Residential
2021,NJ,4921080,30090371,3648914,16.35,Residential
2021,NM,958086,7088358,914495,13.52,Residential
2021,NV,1651794,14373357,1249392,11.49,Residential
2021,NY,10161755,52156882,7256212,19.48,Residential
2021,OH,6789217,53171193,5041904,12.77,Residential
2021,OK,2612424,23745867,1818813,11,Residential
2021,OR,2307363,20285346,1805684,11.37,Residential
2021,PA,7697613,55945176,5477367,13.76,Residential
2021,RI,698380,3131533,446320,22.3,Residential
2021,SC,4037454,31385796,2426703,12.86,Residential
2021,SD,616517,5043964,412657,12.22,Residential
2021,TN,4741606,42840442,3016642,11.07,Residential
2021,TX,18772300,155075136,11815251,12.11,Residential
2021,UT,1142206,10950415,1176949,10.43,Residential
2021,VA,5579585,46634411,3551532,11.96,Residential
2021,VT,418734,2174489,319444,19.26,Residential
2021,WA,3843746,38021233,3220813,10.11,Residential
2021,WI,3320221,22864047,2761990,14.52,Residential
2021,WV,1343207,11050705,863647,12.15,Residential
2021,WY,323702,2897498,278599,11.17,Residential
2021,US,200833874,1470486882,138308772,13.66,Residential
2020,AK,471526,2089046,315208,22.57,Residential
2020,AL,3939867,31331041,2280741,12.58,Residential
2020,AR,1871422,17980206,1413490,10.41,Residential
2020,AZ,4751047,38707416,2896339,12.27,Residential
2020,CA,19413314,94934563,13834719,20.45,Residential
2020,CO,2531337,20482502,2400357,12.36,Residential
2020,CT,2948780,12981839,1521112,22.71,Residential
2020,DC,309841,2452589,290466,12.63,Residential
2020,DE,627031,4991134,446276,12.56,Residential
2020,FL,15021436,133298869,9731237,11.27,Residential
2020,GA,6995859,58220280,4487431,12.02,Residential
2020,HI,862771,2849114,442002,30.28,Residential
2020,IA,1815028,14567483,1403386,12.46,Residential
2020,ID,892473,8970751,782559,9.95,Residential
2020,IL,6021966,46170538,5339610,13.04,Residential
2020,IN,4217038,32878355,2920266,12.83,Residential
2020,KS,1747076,13592444,1282532,12.85,Residential
2020,KY,2818425,25935096,2013910,10.87,Residential
2020,LA,2942989,30440746,2112928,9.67,Residential
2020,MA,4468961,20345178,2817549,21.97,Residential
2020,MD,3551281,27306375,2376983,13.01,Residential
2020,ME,824665,4905263,717559,16.81,Residential
2020,MI,5831461,35862912,4423595,16.26,Residential
2020,MN,3020236,22935672,2464753,13.17,Residential
2020,MO,3922562,34950370,2833918,11.22,Residential
2020,MS,2010535,17994833,1308149,11.17,Residential
2020,MT,604844,5379965,522382,11.24,Residential
2020,NC,6672919,58641572,4695096,11.38,Residential
2020,ND,526673,5046551,387506,10.44,Residential
2020,NE,1135271,10514944,864842,10.8,Residential
2020,NH,911967,4790374,633234,19.04,Residential
2020,NJ,4756754,29676857,3618587,16.03,Residential
2020,NM,942023,7282079,905885,12.94,Residential
2020,NV,1624395,14321607,1226566,11.34,Residential
2020,NY,9596805,52257144,7239162,18.36,Residential
